How many hours per week do you study for this course outside of class?,What percentage grade (0-100) do you realistically expect to get?,"On a scale of 1 to 10, how strict/demanding is the professor?","On a scale of 1 to 10, how much do you actually enjoy their lectures?"
13.5,90.3,6.3,8.8
11.6,85.2,7.5,8.8
13.9,86.8,7.6,7.8
16.6,94.6,7.0,8.7
11.3,90.5,7.8,8.8
11.3,90.1,8.5,7.8
16.7,88.9,10.0,10.0
14.3,88.7,8.2,9.0
10.6,86.7,8.3,7.3
13.6,93.1,7.9,9.2
10.6,83.5,5.7,7.5
10.6,84.7,8.0,9.3
12.7,83.7,8.1,9.7
6.3,72.7,10.0,7.7
6.8,82.1,7.8,9.5
10.3,90.4,8.4,8.9
9.0,82.6,8.0,9.3
12.9,92.4,6.6,10.0
9.3,84.9,9.4,8.3
7.8,78.2,8.9,7.7
16.4,93.4,8.9,7.6
11.3,92.6,6.9,7.7
12.2,87.4,9.7,8.4
7.7,86.9,6.3,8.8
10.4,74.6,8.7,8.8
12.3,91.0,10.0,9.3
8.5,82.5,6.8,8.5
13.1,87.4,7.3,10.0
10.2,85.2,8.1,8.2
11.1,78.2,7.4,10.0
10.2,83.9,6.1,9.1
17.6,94.4,8.1,7.6
12.0,93.1,6.7,7.4
8.8,80.6,8.6,9.0
14.5,86.8,6.9,8.3
8.3,79.8,9.9,9.2
12.6,91.7,7.1,9.0
6.1,78.5,7.6,8.4
8.0,79.1,9.0,7.7
12.6,90.0,6.5,7.0
14.2,90.2,8.3,8.1
12.5,91.8,9.6,9.4
11.7,84.0,6.1,8.7
11.1,84.8,8.2,7.3
7.6,78.8,8.3,8.7
9.8,78.4,8.9,8.9
10.6,86.6,6.5,7.6
15.2,91.8,6.4,8.7
13.0,88.5,8.6,8.6
6.7,77.6,8.4,7.4
